model,dataset,trial,inference_time,domain,num_variates,prediction_length,frequency
timesfm1,exchange_rate/short,0,1.1003191471099854,Econ/Fin,1,8,D
timesfm1,exchange_rate/short,1,0.18253469467163086,Econ/Fin,1,8,D
timesfm1,exchange_rate/short,2,0.11095404624938965,Econ/Fin,1,8,D
timesfm1,exchange_rate/short,3,0.11449575424194336,Econ/Fin,1,8,D
timesfm1,exchange_rate/short,4,0.11855530738830566,Econ/Fin,1,8,D
timesfm1,exchange_rate/short,5,0.10879898071289062,Econ/Fin,1,8,D
timesfm1,exchange_rate/short,6,0.11491680145263672,Econ/Fin,1,8,D
timesfm1,exchange_rate/short,7,0.10455465316772461,Econ/Fin,1,8,D
timesfm1,exchange_rate/short,8,0.15133452415466309,Econ/Fin,1,8,D
timesfm1,exchange_rate/short,9,0.17482733726501465,Econ/Fin,1,8,D
timesfm1,exchange_rate/medium,0,0.1068720817565918,Econ/Fin,1,80,D
timesfm1,exchange_rate/medium,1,0.15452146530151367,Econ/Fin,1,80,D
timesfm1,exchange_rate/medium,2,0.11379241943359375,Econ/Fin,1,80,D
timesfm1,exchange_rate/medium,3,0.1079103946685791,Econ/Fin,1,80,D
timesfm1,exchange_rate/medium,4,0.11109423637390137,Econ/Fin,1,80,D
timesfm1,exchange_rate/medium,5,0.10370159149169922,Econ/Fin,1,80,D
timesfm1,exchange_rate/medium,6,0.16072988510131836,Econ/Fin,1,80,D
timesfm1,exchange_rate/medium,7,0.10499835014343262,Econ/Fin,1,80,D
timesfm1,exchange_rate/medium,8,0.10531115531921387,Econ/Fin,1,80,D
timesfm1,exchange_rate/medium,9,0.10832476615905762,Econ/Fin,1,80,D
timesfm1,exchange_rate/long,0,0.1091156005859375,Econ/Fin,1,120,D
timesfm1,exchange_rate/long,1,0.11193251609802246,Econ/Fin,1,120,D
timesfm1,exchange_rate/long,2,0.1164848804473877,Econ/Fin,1,120,D
timesfm1,exchange_rate/long,3,0.11490178108215332,Econ/Fin,1,120,D
timesfm1,exchange_rate/long,4,0.11366105079650879,Econ/Fin,1,120,D
timesfm1,exchange_rate/long,5,0.10650253295898438,Econ/Fin,1,120,D
timesfm1,exchange_rate/long,6,0.1096048355102539,Econ/Fin,1,120,D
timesfm1,exchange_rate/long,7,0.10989665985107422,Econ/Fin,1,120,D
timesfm1,exchange_rate/long,8,0.11548924446105957,Econ/Fin,1,120,D
timesfm1,exchange_rate/long,9,0.10986900329589844,Econ/Fin,1,120,D
timesfm1,ercot/short,0,0.1349644660949707,Energy,1,48,H
timesfm1,ercot/short,1,0.13845610618591309,Energy,1,48,H
timesfm1,ercot/short,2,0.13688158988952637,Energy,1,48,H
timesfm1,ercot/short,3,0.15140223503112793,Energy,1,48,H
timesfm1,ercot/short,4,0.13385367393493652,Energy,1,48,H
timesfm1,ercot/short,5,0.13170218467712402,Energy,1,48,H
timesfm1,ercot/short,6,0.13530755043029785,Energy,1,48,H
timesfm1,ercot/short,7,0.13738179206848145,Energy,1,48,H
timesfm1,ercot/short,8,0.13819575309753418,Energy,1,48,H
timesfm1,ercot/short,9,0.13703250885009766,Energy,1,48,H
timesfm1,ercot/medium,0,0.4012486934661865,Energy,1,480,H
timesfm1,ercot/medium,1,0.36603474617004395,Energy,1,480,H
timesfm1,ercot/medium,2,0.39772629737854004,Energy,1,480,H
timesfm1,ercot/medium,3,0.3630526065826416,Energy,1,480,H
timesfm1,ercot/medium,4,0.35149335861206055,Energy,1,480,H
timesfm1,ercot/medium,5,0.34365344047546387,Energy,1,480,H
timesfm1,ercot/medium,6,0.33736181259155273,Energy,1,480,H
timesfm1,ercot/medium,7,0.4083843231201172,Energy,1,480,H
timesfm1,ercot/medium,8,0.3616979122161865,Energy,1,480,H
timesfm1,ercot/medium,9,0.34395861625671387,Energy,1,480,H
timesfm1,ercot/long,0,0.4732797145843506,Energy,1,720,H
timesfm1,ercot/long,1,0.4697084426879883,Energy,1,720,H
timesfm1,ercot/long,2,0.48990654945373535,Energy,1,720,H
timesfm1,ercot/long,3,0.48124074935913086,Energy,1,720,H
timesfm1,ercot/long,4,0.5132861137390137,Energy,1,720,H
timesfm1,ercot/long,5,0.48165440559387207,Energy,1,720,H
timesfm1,ercot/long,6,0.47040510177612305,Energy,1,720,H
timesfm1,ercot/long,7,0.4807288646697998,Energy,1,720,H
timesfm1,ercot/long,8,0.46514368057250977,Energy,1,720,H
timesfm1,ercot/long,9,0.48045897483825684,Energy,1,720,H
timesfm1,dominick/short,0,215.32707571983337,Sales,1,2,W
timesfm1,dominick/short,1,215.61887335777283,Sales,1,2,W
timesfm1,dominick/short,2,216.05017518997192,Sales,1,2,W
timesfm1,dominick/short,3,215.92087244987488,Sales,1,2,W
timesfm1,dominick/short,4,215.08996653556824,Sales,1,2,W
timesfm1,dominick/short,5,215.83515453338623,Sales,1,2,W
timesfm1,dominick/short,6,215.7321982383728,Sales,1,2,W
timesfm1,dominick/short,7,215.66448402404785,Sales,1,2,W
timesfm1,dominick/short,8,215.93376803398132,Sales,1,2,W
timesfm1,dominick/short,9,215.83638215065002,Sales,1,2,W
timesfm1,dominick/medium,0,215.52436304092407,Sales,1,20,W
timesfm1,dominick/medium,1,215.64242386817932,Sales,1,20,W
timesfm1,dominick/medium,2,215.753488779068,Sales,1,20,W
timesfm1,dominick/medium,3,215.76581144332886,Sales,1,20,W
timesfm1,dominick/medium,4,215.85634803771973,Sales,1,20,W
timesfm1,dominick/medium,5,216.09323072433472,Sales,1,20,W
timesfm1,dominick/medium,6,215.50374054908752,Sales,1,20,W
timesfm1,dominick/medium,7,215.57569241523743,Sales,1,20,W
timesfm1,dominick/medium,8,215.50107550621033,Sales,1,20,W
timesfm1,dominick/medium,9,216.15041399002075,Sales,1,20,W
timesfm1,dominick/long,0,214.66154098510742,Sales,1,30,W
timesfm1,dominick/long,1,215.2697696685791,Sales,1,30,W
timesfm1,dominick/long,2,215.17805671691895,Sales,1,30,W
timesfm1,dominick/long,3,216.14703273773193,Sales,1,30,W
timesfm1,dominick/long,4,215.55274987220764,Sales,1,30,W
timesfm1,dominick/long,5,215.03274869918823,Sales,1,30,W
timesfm1,dominick/long,6,215.67369055747986,Sales,1,30,W
timesfm1,dominick/long,7,213.97701025009155,Sales,1,30,W
timesfm1,dominick/long,8,212.96284532546997,Sales,1,30,W
timesfm1,dominick/long,9,213.6014482975006,Sales,1,30,W
timesfm1,jena_weather/D/short,0,0.2910299301147461,Nature,21,30,D
timesfm1,jena_weather/D/short,1,0.26381587982177734,Nature,21,30,D
timesfm1,jena_weather/D/short,2,0.2159862518310547,Nature,21,30,D
timesfm1,jena_weather/D/short,3,0.26738572120666504,Nature,21,30,D
timesfm1,jena_weather/D/short,4,0.2368488311767578,Nature,21,30,D
timesfm1,jena_weather/D/short,5,0.2892777919769287,Nature,21,30,D
timesfm1,jena_weather/D/short,6,0.22687125205993652,Nature,21,30,D
timesfm1,jena_weather/D/short,7,0.28110170364379883,Nature,21,30,D
timesfm1,jena_weather/D/short,8,0.2596142292022705,Nature,21,30,D
timesfm1,jena_weather/D/short,9,0.19524407386779785,Nature,21,30,D
timesfm1,solar/D/short,0,0.8416557312011719,Energy,1,30,D
timesfm1,solar/D/short,1,0.8006958961486816,Energy,1,30,D
timesfm1,solar/D/short,2,0.7917451858520508,Energy,1,30,D
timesfm1,solar/D/short,3,0.7712934017181396,Energy,1,30,D
timesfm1,solar/D/short,4,0.8690764904022217,Energy,1,30,D
timesfm1,solar/D/short,5,0.7792713642120361,Energy,1,30,D
timesfm1,solar/D/short,6,0.806633710861206,Energy,1,30,D
timesfm1,solar/D/short,7,0.8287022113800049,Energy,1,30,D
timesfm1,solar/D/short,8,0.9064698219299316,Energy,1,30,D
timesfm1,solar/D/short,9,0.8442809581756592,Energy,1,30,D
timesfm1,jena_weather/10T/short,0,1.2627346515655518,Nature,21,48,10T
timesfm1,jena_weather/10T/short,1,1.2432940006256104,Nature,21,48,10T
timesfm1,jena_weather/10T/short,2,1.2146408557891846,Nature,21,48,10T
timesfm1,jena_weather/10T/short,3,1.2582454681396484,Nature,21,48,10T
timesfm1,jena_weather/10T/short,4,1.2728211879730225,Nature,21,48,10T
timesfm1,jena_weather/10T/short,5,1.2291536331176758,Nature,21,48,10T
timesfm1,jena_weather/10T/short,6,1.283165693283081,Nature,21,48,10T
timesfm1,jena_weather/10T/short,7,1.2681334018707275,Nature,21,48,10T
timesfm1,jena_weather/10T/short,8,1.4685664176940918,Nature,21,48,10T
timesfm1,jena_weather/10T/short,9,1.2428631782531738,Nature,21,48,10T
timesfm1,jena_weather/10T/medium,0,2.215972423553467,Nature,21,480,10T
timesfm1,jena_weather/10T/medium,1,2.2426960468292236,Nature,21,480,10T
timesfm1,jena_weather/10T/medium,2,2.2089898586273193,Nature,21,480,10T
timesfm1,jena_weather/10T/medium,3,2.173215866088867,Nature,21,480,10T
timesfm1,jena_weather/10T/medium,4,2.2235267162323,Nature,21,480,10T
timesfm1,jena_weather/10T/medium,5,2.2283213138580322,Nature,21,480,10T
timesfm1,jena_weather/10T/medium,6,2.231182813644409,Nature,21,480,10T
timesfm1,jena_weather/10T/medium,7,2.233755350112915,Nature,21,480,10T
timesfm1,jena_weather/10T/medium,8,2.19565749168396,Nature,21,480,10T
timesfm1,jena_weather/10T/medium,9,2.221109390258789,Nature,21,480,10T
timesfm1,jena_weather/10T/long,0,2.430565118789673,Nature,21,720,10T
timesfm1,jena_weather/10T/long,1,2.372619390487671,Nature,21,720,10T
timesfm1,jena_weather/10T/long,2,2.4756529331207275,Nature,21,720,10T
timesfm1,jena_weather/10T/long,3,2.425769805908203,Nature,21,720,10T
timesfm1,jena_weather/10T/long,4,2.4007389545440674,Nature,21,720,10T
timesfm1,jena_weather/10T/long,5,2.389324426651001,Nature,21,720,10T
timesfm1,jena_weather/10T/long,6,2.439892053604126,Nature,21,720,10T
timesfm1,jena_weather/10T/long,7,2.464848756790161,Nature,21,720,10T
timesfm1,jena_weather/10T/long,8,2.46030330657959,Nature,21,720,10T
timesfm1,jena_weather/10T/long,9,2.4866116046905518,Nature,21,720,10T
timesfm1,bizitobs_l2c/5T/short,0,0.44970011711120605,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/short,1,0.47641587257385254,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/short,2,0.5313746929168701,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/short,3,0.44351959228515625,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/short,4,0.5294358730316162,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/short,5,0.4940173625946045,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/short,6,0.46700358390808105,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/short,7,0.5181424617767334,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/short,8,0.44882678985595703,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/short,9,0.4732654094696045,Web/CloudOps,7,48,5T
timesfm1,bizitobs_l2c/5T/medium,0,0.6367688179016113,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/medium,1,0.6291038990020752,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/medium,2,0.6904070377349854,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/medium,3,0.640265703201294,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/medium,4,0.6401453018188477,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/medium,5,0.6517040729522705,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/medium,6,0.7212188243865967,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/medium,7,0.6730897426605225,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/medium,8,0.6035218238830566,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/medium,9,0.6721231937408447,Web/CloudOps,7,480,5T
timesfm1,bizitobs_l2c/5T/long,0,0.8973002433776855,Web/CloudOps,7,720,5T
timesfm1,bizitobs_l2c/5T/long,1,0.8829872608184814,Web/CloudOps,7,720,5T
timesfm1,bizitobs_l2c/5T/long,2,0.8591485023498535,Web/CloudOps,7,720,5T
timesfm1,bizitobs_l2c/5T/long,3,0.8835201263427734,Web/CloudOps,7,720,5T
timesfm1,bizitobs_l2c/5T/long,4,0.8710699081420898,Web/CloudOps,7,720,5T
timesfm1,bizitobs_l2c/5T/long,5,0.8401939868927002,Web/CloudOps,7,720,5T
timesfm1,bizitobs_l2c/5T/long,6,0.8675992488861084,Web/CloudOps,7,720,5T
timesfm1,bizitobs_l2c/5T/long,7,0.8713719844818115,Web/CloudOps,7,720,5T
timesfm1,bizitobs_l2c/5T/long,8,0.879115104675293,Web/CloudOps,7,720,5T
timesfm1,bizitobs_l2c/5T/long,9,0.8532743453979492,Web/CloudOps,7,720,5T
timesfm1,solar/W/short,0,0.5407302379608154,Energy,1,8,W
timesfm1,solar/W/short,1,0.6903655529022217,Energy,1,8,W
timesfm1,solar/W/short,2,0.5437507629394531,Energy,1,8,W
timesfm1,solar/W/short,3,0.6180107593536377,Energy,1,8,W
timesfm1,solar/W/short,4,0.6066863536834717,Energy,1,8,W
timesfm1,solar/W/short,5,0.6563522815704346,Energy,1,8,W
timesfm1,solar/W/short,6,0.5915243625640869,Energy,1,8,W
timesfm1,solar/W/short,7,0.6011579036712646,Energy,1,8,W
timesfm1,solar/W/short,8,0.6005010604858398,Energy,1,8,W
timesfm1,solar/W/short,9,0.5436861515045166,Energy,1,8,W
timesfm1,bitbrains_fast_storage/H/short,0,12.272543668746948,Web/CloudOps,2,48,H
timesfm1,bitbrains_fast_storage/H/short,1,12.580396175384521,Web/CloudOps,2,48,H
timesfm1,bitbrains_fast_storage/H/short,2,12.333631038665771,Web/CloudOps,2,48,H
timesfm1,bitbrains_fast_storage/H/short,3,12.081689834594727,Web/CloudOps,2,48,H
timesfm1,bitbrains_fast_storage/H/short,4,12.649241924285889,Web/CloudOps,2,48,H
timesfm1,bitbrains_fast_storage/H/short,5,12.469999551773071,Web/CloudOps,2,48,H
timesfm1,bitbrains_fast_storage/H/short,6,12.3169424533844,Web/CloudOps,2,48,H
timesfm1,bitbrains_fast_storage/H/short,7,12.260218143463135,Web/CloudOps,2,48,H
timesfm1,bitbrains_fast_storage/H/short,8,12.068081855773926,Web/CloudOps,2,48,H
timesfm1,bitbrains_fast_storage/H/short,9,12.189923524856567,Web/CloudOps,2,48,H
timesfm1,solar/H/short,0,5.941185712814331,Energy,1,48,H
timesfm1,solar/H/short,1,5.937978982925415,Energy,1,48,H
timesfm1,solar/H/short,2,5.9619221687316895,Energy,1,48,H
timesfm1,solar/H/short,3,5.978795051574707,Energy,1,48,H
timesfm1,solar/H/short,4,5.944432735443115,Energy,1,48,H
timesfm1,solar/H/short,5,6.05195689201355,Energy,1,48,H
timesfm1,solar/H/short,6,6.197468280792236,Energy,1,48,H
timesfm1,solar/H/short,7,5.987492799758911,Energy,1,48,H
timesfm1,solar/H/short,8,6.007446765899658,Energy,1,48,H
timesfm1,solar/H/short,9,6.558303117752075,Energy,1,48,H
timesfm1,solar/H/medium,0,2.5458080768585205,Energy,1,480,H
timesfm1,solar/H/medium,1,2.527958393096924,Energy,1,480,H
timesfm1,solar/H/medium,2,2.534581422805786,Energy,1,480,H
timesfm1,solar/H/medium,3,2.533595085144043,Energy,1,480,H
timesfm1,solar/H/medium,4,2.6085493564605713,Energy,1,480,H
timesfm1,solar/H/medium,5,2.5470030307769775,Energy,1,480,H
timesfm1,solar/H/medium,6,2.688563108444214,Energy,1,480,H
timesfm1,solar/H/medium,7,2.627653121948242,Energy,1,480,H
timesfm1,solar/H/medium,8,2.5760228633880615,Energy,1,480,H
timesfm1,solar/H/medium,9,2.5880796909332275,Energy,1,480,H
timesfm1,solar/H/long,0,3.7458336353302,Energy,1,720,H
timesfm1,solar/H/long,1,3.769622564315796,Energy,1,720,H
timesfm1,solar/H/long,2,3.7928860187530518,Energy,1,720,H
timesfm1,solar/H/long,3,3.828284740447998,Energy,1,720,H
timesfm1,solar/H/long,4,3.7733144760131836,Energy,1,720,H
timesfm1,solar/H/long,5,3.709528923034668,Energy,1,720,H
timesfm1,solar/H/long,6,3.7093372344970703,Energy,1,720,H
timesfm1,solar/H/long,7,3.7249670028686523,Energy,1,720,H
timesfm1,solar/H/long,8,3.6980347633361816,Energy,1,720,H
timesfm1,solar/H/long,9,3.6857354640960693,Energy,1,720,H
timesfm1,bitbrains_rnd/H/short,0,4.991666555404663,Web/CloudOps,2,48,H
