dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bitbrains_rnd/5T/short,moirai_small,3595170.8458205503,2331368.9757681596,146.33697646257139,2.0243728844529683,0.4560299305312625,0.6753717421537123,3364.4892051910165,1896.0935751751679,7.758267506967176,0.5987686601662067,0.5541221842230697,Web/CloudOps,2
bitbrains_rnd/5T/medium,moirai_small,2800693.662698784,2291507.6129910573,147.757753537485,4.680079330671938,0.3526755478452571,0.6980045673057534,5818.774122558292,1673.5273116082642,7.041382588411853,0.621692198176229,0.6101797247751903,Web/CloudOps,2
bitbrains_rnd/5T/long,moirai_small,3504784.8906870596,2979592.2961814837,199.0641244080758,3.6230606883311154,2.159215924224541,0.700431232982928,19783.187799919717,1872.107072441921,7.1716204142200555,0.7625698120362645,0.6660397289024286,Web/CloudOps,2
solar/W/short,moirai_small,2933289.810218978,3324826.394160584,1439.7547901459855,1.5822814189373797,0.32876550716205233,0.2669262514695822,8.691562026651876,1712.6849710962545,0.3496018218382639,0.2938899483150282,0.21285646961342738,Energy,1
solar/D/short,moirai_small,128570.73673965936,131804.57420924574,281.3375304136253,1.0979070281851813,0.9751459497604927,0.48381471258234554,7.04761351590581,358.5676180857097,0.5180080784342025,0.40643690665382526,0.3084700127133782,Energy,1
jena_weather/H/short,moirai_small,1924.0102339181287,2072.8370927318297,11.141778600146198,0.594604801643698,1.614393046040501,0.652990815019533,7.917193055351254,43.86354105539279,0.2688807043898586,0.06829839101179554,0.057835101019515375,Nature,21
jena_weather/H/medium,moirai_small,2432.1345238095237,2123.403373015873,12.682533482142857,0.8808830866751111,3.11927753124434,0.696898649256176,9.34588278625145,49.31667592011371,0.30177746352058993,0.07760666577479258,0.06308340037938807,Nature,21
jena_weather/H/long,moirai_small,2599.943386243386,2248.4391534391534,13.91047660383598,1.0924091151790694,3.5471752870668816,0.6845383488258071,12.859816367983974,50.98963998934868,0.3070141560319111,0.08375648926763289,0.06882184144297668,Nature,21
bitbrains_fast_storage/H/short,moirai_small,1166365367931.3486,3806916.3304972197,311.89159362174297,1.2697117754153524,3.485556246822012,0.6008708670496977,3176.7305882831392,1079983.9665158684,3078.3052656328055,0.8889923968499134,0.6460329092778186,Web/CloudOps,2
solar/H/short,moirai_small,815.7489625352158,944.701610321424,14.536988508351742,1.1231698236914827,3.4415674598876533,1.4935054367652492,9.128252654267278,28.56131934164134,1.0527797300871788,0.5358382312468999,0.41358021872329764,Energy,1
solar/H/medium,moirai_small,910.1341240875912,1007.2467153284672,15.265167845194647,1.1653636976031254,4.357518875051616,1.483405372425551,9.21322945607322,30.168429261192756,1.0867372354466591,0.549886974860029,0.4285900669105148,Energy,1
solar/H/long,moirai_small,1001.1887266828872,1101.136415247364,16.463103203568533,1.2528882540820991,4.890694432443775,1.497525515158698,10.130906973574822,31.64156643851387,1.097070773539469,0.5708057912207248,0.4421823499498707,Energy,1
solar/H/short,moirai_small,814.7791350525035,940.6065397297989,14.507727712014983,1.1204045407317762,3.396030550308471,1.4928641345243332,9.103818240447332,28.544336304291672,1.0521537296821144,0.534759668562135,0.4129924937735879,Energy,1
solar/H/medium,moirai_small,919.2273722627738,1016.3728710462287,15.30616256082725,1.16719562680621,4.368062333420924,1.4838500894379336,9.225241131213224,30.31876270995856,1.0921525971511898,0.5513637001992499,0.4295710391775251,Energy,1
solar/H/long,moirai_small,993.8772100567721,1094.8627737226277,16.43201794403893,1.2507749141353848,4.812466826721307,1.4970181947911778,10.120957921939782,31.525818150474258,1.093057569447875,0.5697280086215578,0.4414533018684851,Energy,1
