"dataset, frequency, term",Metric,Chr.B.B,Chr.B.S,Chr.B.M,Chr.B.T,T.FM1,T.FM2,Best
"bizitobs_application, 10S, short",MASE,5.53329015048935,5.406631534024659,7.201341554324736,7.547394616531752,1391.8424837516368,1.5609925639006754,T.FM2
"bizitobs_application, 10S, short",Qloss,0.0539584908940387,0.0345296472440911,0.0723347195139717,0.0698727586072626,28.26951031978051,0.0144699803693795,T.FM2
"bizitobs_application, 10S, short",Rank,4.5,3.0,6.5,7.0,9.0,1.5,T.FM2
"bizitobs_application, 10S, medium",MASE,9.720338198562825,9.14652940255732,10.97240566769074,11.416669437016942,1199.1446789240365,3.070240763089744,T.FM2
"bizitobs_application, 10S, medium",Qloss,0.1035015159471469,0.0847561243769112,0.1281871121223838,0.1153038520250567,30.4417371751495,0.0329322534019116,T.FM2
"bizitobs_application, 10S, medium",Rank,4.5,3.0,6.5,7.0,9.0,1.5,T.FM2
"bizitobs_application, 10S, long",MASE,10.483795009200705,9.648163590951985,12.44368038779667,12.83494802049337,148.4673100284805,4.085063473205565,T.FM2
"bizitobs_application, 10S, long",Qloss,0.1089760417820441,0.0921152987594566,0.1503155591746426,0.1371206084259389,0.4997333605820212,0.057008288945212,T.FM2
"bizitobs_application, 10S, long",Rank,4.5,3.0,6.5,7.0,9.0,1.5,T.FM2
"bizitobs_l2c, 5T, short",MASE,0.2781850173336981,0.2724610085878866,0.274021969035643,0.283608221015034,36.42903739425062,0.3120665961857673,Chr.B.S
"bizitobs_l2c, 5T, short",Qloss,0.0743531876384251,0.0732790749822003,0.0732385471444573,0.0754991033941323,14.17340173691139,0.0838966071510207,Chr.B.M
"bizitobs_l2c, 5T, short",Rank,4.5,2.0,2.5,6.0,9.0,7.5,Chr.B.S
"bizitobs_l2c, 5T, medium",MASE,0.877710033659976,0.91976779105038,0.8864090251843072,0.8402377586114845,891.9257658813548,1.0230321868142565,Chr.B.T
"bizitobs_l2c, 5T, medium",Qloss,0.4454411345554324,0.4620089921244381,0.4513497643312524,0.4197680284738138,432.1678321415844,0.5282120036271087,Chr.B.T
"bizitobs_l2c, 5T, medium",Rank,3.0,6.0,4.5,1.5,9.0,7.5,Chr.B.T
"bizitobs_l2c, 5T, long",MASE,1.240735139133242,1.3567894454883065,1.3295611258435882,1.2580024663659997,1250.170725331884,1.235924806345565,T.FM2
"bizitobs_l2c, 5T, long",Qloss,0.7380396160871296,0.790428346246039,0.7745859727861675,0.7220735201295838,633.1869527187346,0.7475717663277487,Chr.B.T
"bizitobs_l2c, 5T, long",Rank,3.0,7.5,6.0,3.5,9.0,2.5,T.FM2
"jena_weather, 10T, short",MASE,0.3055144917869973,0.3198253420472476,0.3076682004137361,0.3266320118200406,130.48622543500127,0.0898035306816074,T.FM2
"jena_weather, 10T, short",Qloss,0.0326451629647857,0.0366512532896942,0.036236675299104,0.0419105500413148,27.646049128247856,0.0152541960319368,T.FM2
"jena_weather, 10T, short",Rank,3.0,6.0,4.5,7.5,9.0,1.5,T.FM2
"jena_weather, 10T, medium",MASE,0.610204664324259,0.646487916169378,0.6352093564260786,0.6666467464749164,135.43823469797567,0.1904381128553163,T.FM2
"jena_weather, 10T, medium",Qloss,0.0571189225688314,0.0599552602232764,0.0607617008366461,0.0682685208326167,27.16266933158427,0.0307859396862762,T.FM2
"jena_weather, 10T, medium",Rank,3.0,5.5,5.0,7.5,9.0,1.5,T.FM2
"jena_weather, 10T, long",MASE,0.6566836391591423,0.7028807276435921,0.6817904268845266,0.7294519624523532,174.22594301364575,0.2311905213006695,T.FM2
"jena_weather, 10T, long",Qloss,0.0638386486050117,0.0633420851487401,0.0614665995670831,0.0792373977329968,31.85518979848869,0.0348587108180322,T.FM2
"jena_weather, 10T, long",Rank,4.0,5.5,4.0,7.5,9.0,1.5,T.FM2
"bizitobs_service, 10S, short",MASE,3.2985983515879305,2.871072278805185,3.954530182205567,4.186413706064321,2192.262899112452,1.0345768637846624,T.FM2
"bizitobs_service, 10S, short",Qloss,0.0500210215503554,0.0311101664517764,0.0650069000172431,0.064613117849123,23.07527067221945,0.0150689196204376,T.FM2
"bizitobs_service, 10S, short",Rank,4.5,3.0,6.5,7.0,9.0,1.5,T.FM2
"bizitobs_service, 10S, medium",MASE,4.957952082373729,4.6177938290727685,5.850413290652754,5.971571009086446,2338.310565785189,1.5258586675144097,T.FM2
"bizitobs_service, 10S, medium",Qloss,0.0952157617540223,0.0812426348900311,0.1185828150817464,0.1126907775482923,36.34434360931524,0.0381633271532488,T.FM2
"bizitobs_service, 10S, medium",Rank,4.5,3.0,6.5,7.0,9.0,1.5,T.FM2
"bizitobs_service, 10S, long",MASE,5.280269570358127,4.823905505467266,6.52234932924097,6.5998165152017725,853.9873851268032,2.197154560025504,T.FM2
"bizitobs_service, 10S, long",Qloss,0.1119306019996581,0.0951581617319144,0.1438457360646283,0.1331641622826419,24.13781799046977,0.0617900201833042,T.FM2
"bizitobs_service, 10S, long",Rank,4.5,3.0,6.5,7.0,9.0,1.5,T.FM2
"bizitobs_l2c, H, short",MASE,0.4322697326241698,0.484852697495047,0.4950302828110887,0.4734687896310383,484.7188793575663,0.7824541125298182,Chr.B.B
"bizitobs_l2c, H, short",Qloss,0.1890031507124854,0.2042807530192639,0.2082593291471514,0.2029416426406178,258.5938568475941,0.3448769843204872,Chr.B.B
"bizitobs_l2c, H, short",Rank,1.5,4.5,6.0,3.0,9.0,7.5,Chr.B.B
"bizitobs_l2c, H, medium",MASE,0.495206418165272,0.5702583977880483,0.5208920119882302,0.5998673603867014,97.96265600406626,1.184436142034354,Chr.B.B
"bizitobs_l2c, H, medium",Qloss,0.2544303349836439,0.2849905220893266,0.2660528445763752,0.3039876377835597,54.23164689362558,0.640652714255893,Chr.B.B
"bizitobs_l2c, H, medium",Rank,1.5,4.5,3.0,6.0,9.0,7.5,Chr.B.B
"bizitobs_l2c, H, long",MASE,0.555710515283762,0.6121256977930752,0.6106818739831333,0.6062001329232292,2042.631842443576,1.2990507788110273,Chr.B.B
"bizitobs_l2c, H, long",Qloss,0.2776360920335359,0.2952912508565607,0.2962203535074107,0.3063561660882032,1082.585160342974,0.7283745140614762,Chr.B.B
"bizitobs_l2c, H, long",Rank,1.5,5.0,4.5,4.0,9.0,7.5,Chr.B.B
"solar, D, short",MASE,0.98177213080698,0.995236464401523,0.9807631142627994,0.9930739243650112,4.354393972132408,0.970809968543596,T.FM2
"solar, D, short",Qloss,0.2873626894738303,0.2858272528796515,0.2790213936198797,0.2821338198283146,1.2480404126912392,0.278324239297087,T.FM2
"solar, D, short",Rank,5.5,7.0,3.0,5.5,9.0,1.5,T.FM2
"bitbrains_fast_storage, 5T, short",MASE,0.7448934658843656,0.7695278991467256,0.8081730537743309,0.8644316644204866,293.55800787136627,0.7313112620581164,T.FM2
"bitbrains_fast_storage, 5T, short",Qloss,0.4535423832746609,0.4348744812330769,0.4341265600843596,0.4197960526651949,131.0609125511902,0.4468626998490715,Chr.B.T
"bitbrains_fast_storage, 5T, short",Rank,4.5,4.5,5.0,5.5,9.0,3.0,T.FM2
"bitbrains_fast_storage, 5T, medium",MASE,1.0476966240566046,1.060154435873173,1.0697703684045428,1.114741699272609,273.8110587869888,1.0752497938664538,Chr.B.B
"bitbrains_fast_storage, 5T, medium",Qloss,0.7554388288208161,0.8673283447888497,0.8278287376790442,0.8141287404291079,189.79134234517244,0.8862132217091677,Chr.B.B
"bitbrains_fast_storage, 5T, medium",Rank,1.5,4.0,4.5,6.0,9.0,6.5,Chr.B.B
"bitbrains_fast_storage, 5T, long",MASE,0.937855515297511,0.9531406429466142,0.967205493487286,0.9937828109509872,403.89762411006353,0.9795253043186176,Chr.B.B
"bitbrains_fast_storage, 5T, long",Qloss,0.7475071703444818,0.7525511641009097,0.7490539005054802,0.7496303927712588,164.58919644326315,0.9093557539166616,Chr.B.B
"bitbrains_fast_storage, 5T, long",Rank,1.5,4.0,4.0,6.5,9.0,6.5,Chr.B.B
"bitbrains_rnd, H, short",MASE,5.8969307002196185,5.879649033441543,5.88188844611218,5.9505916552651525,364.9459491126261,5.987038652491227,Chr.B.S
