,model,dataset,domain,num_variates,prediction_length,frequency,inference_time,time_series_avg_len,num_samples,normalized_inference_time,normalized_time_per_input_output_point,Model,"Dataset, Frequency, Term",dataset_name,term
0,chronos_bolt_base,bitbrains_fast_storage/5T/long,Web/CloudOps,2,720,5T,526.8055801153183,7560.0,2500,0.0002926697667307324,3.8712932107239733e-08,Chr.B.B,"bitbrains_fast_storage, 5T, long",bitbrains_fast_storage,long
1,chronos_bolt_base,bitbrains_fast_storage/5T/medium,Web/CloudOps,2,480,5T,352.9168744087219,7920.0,2500,0.0002940973953406016,3.713350951270222e-08,Chr.B.B,"bitbrains_fast_storage, 5T, medium",bitbrains_fast_storage,medium
2,chronos_bolt_base,bitbrains_fast_storage/5T/short,Web/CloudOps,2,48,5T,418.579793381691,8184.0,22500,0.000387573882760825,4.735751255630804e-08,Chr.B.B,"bitbrains_fast_storage, 5T, short",bitbrains_fast_storage,short
3,chronos_bolt_base,bitbrains_fast_storage/H/short,Web/CloudOps,2,48,H,15.443538355827332,649.0,2500,0.00012869615296522778,1.9829915711129087e-07,Chr.B.B,"bitbrains_fast_storage, H, short",bitbrains_fast_storage,short
4,chronos_bolt_base,bitbrains_rnd/5T/long,Web/CloudOps,2,720,5T,205.00826649665834,7560.0,1000,0.000284733703467581,3.7663188289362566e-08,Chr.B.B,"bitbrains_rnd, 5T, long",bitbrains_rnd,long
5,chronos_bolt_base,bitbrains_rnd/5T/medium,Web/CloudOps,2,480,5T,137.77626581192015,7920.0,1000,0.000287033887108167,3.624165241264735e-08,Chr.B.B,"bitbrains_rnd, 5T, medium",bitbrains_rnd,medium
6,chronos_bolt_base,bitbrains_rnd/5T/short,Web/CloudOps,2,48,5T,157.11636250019075,8184.0,9000,0.0003636952835652564,4.443979515704501e-08,Chr.B.B,"bitbrains_rnd, 5T, short",bitbrains_rnd,short
7,chronos_bolt_base,bitbrains_rnd/H/short,Web/CloudOps,2,48,H,6.07614266872406,648.0,1000,0.00012658630559841792,1.9534923703459555e-07,Chr.B.B,"bitbrains_rnd, H, short",bitbrains_rnd,short
8,chronos_bolt_base,bizitobs_application/10S/long,Web/CloudOps,2,900,10S,0.5565712690353394,7934.0,1,0.0006184125211503771,7.794460816112643e-08,Chr.B.B,"bizitobs_application, 10S, long",bizitobs_application,long
9,chronos_bolt_base,bizitobs_application/10S/medium,Web/CloudOps,2,600,10S,0.4841707944869995,7934.0,2,0.0004034756620724996,5.085400328617338e-08,Chr.B.B,"bizitobs_application, 10S, medium",bizitobs_application,medium
10,chronos_bolt_base,bizitobs_application/10S/short,Web/CloudOps,2,60,10S,0.2919494867324829,8354.0,15,0.00032438831859164764,3.8830299089256365e-08,Chr.B.B,"bizitobs_application, 10S, short",bizitobs_application,short
11,chronos_bolt_base,bizitobs_l2c/5T/long,Web/CloudOps,7,720,5T,3.798915648460388,29808.0,5,0.0010552543467945523,3.540171587475014e-08,Chr.B.B,"bizitobs_l2c, 5T, long",bizitobs_l2c,long
12,chronos_bolt_base,bizitobs_l2c/5T/medium,Web/CloudOps,7,480,5T,3.4769720315933226,30048.0,7,0.0010348131046408698,3.443866828543896e-08,Chr.B.B,"bizitobs_l2c, 5T, medium",bizitobs_l2c,medium
13,chronos_bolt_base,bizitobs_l2c/5T/short,Web/CloudOps,7,48,5T,1.2532315969467163,31464.0,20,0.0013054495801528294,4.149026125581075e-08,Chr.B.B,"bizitobs_l2c, 5T, short",bizitobs_l2c,short
14,chronos_bolt_base,bizitobs_l2c/H/long,Web/CloudOps,7,720,H,0.869661808013916,1944.0,1,0.00120786362224155,6.213290237868055e-07,Chr.B.B,"bizitobs_l2c, H, long",bizitobs_l2c,long
15,chronos_bolt_base,bizitobs_l2c/H/medium,Web/CloudOps,7,480,H,0.5767561197280884,2184.0,1,0.0012015752494335175,5.501718175061893e-07,Chr.B.B,"bizitobs_l2c, H, medium",bizitobs_l2c,medium
16,chronos_bolt_base,bizitobs_l2c/H/short,Web/CloudOps,7,48,H,0.37995283603668206,2496.0,6,0.0013192806806829238,5.285579650171971e-07,Chr.B.B,"bizitobs_l2c, H, short",bizitobs_l2c,short
17,chronos_bolt_base,bizitobs_service/10S/long,Web/CloudOps,2,900,10S,5.580440640449524,7935.0,21,0.00029526140954759387,3.7210007504422664e-08,Chr.B.B,"bizitobs_service, 10S, long",bizitobs_service,long
18,chronos_bolt_base,bizitobs_service/10S/medium,Web/CloudOps,2,600,10S,6.968800520896911,7935.0,42,0.0002765397032101949,3.485062422308694e-08,Chr.B.B,"bizitobs_service, 10S, medium",bizitobs_service,medium
19,chronos_bolt_base,bizitobs_service/10S/short,Web/CloudOps,2,60,10S,5.777773928642273,8355.0,315,0.00030570232426678696,3.658914712947779e-08,Chr.B.B,"bizitobs_service, 10S, short",bizitobs_service,short
20,chronos_bolt_base,dominick/long,Sales,1,30,W,170.3894300699234,266.4834123222749,100014,5.678852629629299e-05,2.131034190886715e-07,Chr.B.B,"dominick, W, long",dominick,long
21,chronos_bolt_base,dominick/medium,Sales,1,20,W,168.29831223487855,276.4834123222749,100014,8.413737688467542e-05,3.043125668117953e-07,Chr.B.B,"dominick, W, medium",dominick,medium
