dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/10T/short,moirai_base,70.87801950273723,30.584794256576945,2.7019471105867927,1.1762802254000575,3.821329128027985,1.6294362492354593,21.903669988187517,8.418908450787265,2.4490595566228546,0.7859961218669989,0.6464544577508068,Energy,1
solar/10T/medium,moirai_base,96.43211125857111,84.23886861313869,4.4084998306514045,1.926896339068187,1.2613698238695619,1.932771739463262,29.60290208779949,9.819985298286912,2.1790937361617724,0.978263620060466,0.8915916395415451,Energy,1
solar/10T/long,moirai_base,92.55026928730739,94.2570217457421,4.647210579506286,2.027139760622441,1.0336917103085332,1.9834223029901734,31.155152010046532,9.62030505167624,2.0792750333827392,1.0044202217013796,0.9296369832048588,Energy,1
solar/D/short,moirai_base,119220.66374695864,138096.5216545012,271.344799270073,1.0610299633547386,1.0676010540222018,0.4557368131843272,5.870320828809747,345.2834542038738,0.4988169862692932,0.39200081371934326,0.29415596568422697,Energy,1
jena_weather/10T/short,moirai_base,2050.4190476190474,1741.0472222222222,9.784120008680556,0.35918785411855736,0.41564746557816495,0.6380338843147433,4.132710528961791,45.2815530610319,0.2812552185116323,0.06077165258171411,0.05468284974364718,Nature,21
jena_weather/10T/medium,moirai_base,4806.44733044733,2561.760173160173,14.831516053391054,0.7375662484989222,1.731840788756521,0.7109787530669982,9.197213415431566,69.32854628828828,0.425468056279437,0.09102075039440959,0.07759177798993289,Nature,21
jena_weather/10T/long,moirai_base,4965.1698412698415,2838.7428571428572,16.25834056712963,0.7827569191656728,2.412288920712486,0.7065294429484927,9.876560961027678,70.46396129419522,0.4311810617180289,0.09948757377178222,0.08253168741643918,Nature,21
jena_weather/D/short,moirai_base,937.3256944444445,426.84801587301587,10.134678819444444,1.1587968782133184,0.6118743431749682,0.4702786895837046,11.651050351980077,30.615775254669682,0.18435700619753148,0.061027330857523605,0.05115878349726646,Nature,21
bitbrains_fast_storage/H/short,moirai_base,6687490.897600014,3874424.435750456,317.39748862555587,1.1867631020300557,4.514977890282879,0.5857492989455944,31.056331455972508,2586.0183482721104,7.370992667780611,0.9046859868547141,0.6418254088242226,Web/CloudOps,2
bizitobs_application/10S/short,moirai_base,5752297.244444445,5596333.511111111,934.9709722222223,5.326189207622797,0.06977717929416233,0.07240190086355637,60.21772243940916,2398.3947224017243,0.0924964977853495,0.03605809321282914,0.02995856164279169,Web/CloudOps,2
bizitobs_application/10S/medium,moirai_base,30214427.30666667,22177262.933333334,2092.4625,13.003425317624902,0.18815617879231772,0.1674822657415738,119.8509437255652,5496.765167502307,0.2158417901812845,0.08216484388988889,0.07663297597712328,Web/CloudOps,2
