dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/W/short,morai_large,3433330.2189781023,2944878.715328467,1347.0444799270074,1.4732431305312357,0.30810725079835766,0.25292299813914015,10.269432252957955,1852.924774236154,0.3782282718272344,0.27496545612718626,0.20462890752336427,Energy,1
jena_weather/10T/short,morai_large,2025.2095238095237,1604.5101190476191,9.135175626240079,0.3508242900486609,0.3951994462615755,0.636414596301294,4.491685809962908,45.00232798211137,0.27952088067918496,0.056740894320415354,0.05082291784695593,Nature,21
jena_weather/10T/medium,morai_large,6008.373448773449,2719.905339105339,17.01894164862915,0.7296458411371527,2.288710115849657,0.6868039547611133,8.837560836854475,77.51369845887531,0.4757001896619797,0.10444494239162537,0.08466120374915434,Nature,21
jena_weather/10T/long,morai_large,6488.407407407408,2838.574603174603,16.96456576554233,0.7307388368150888,1.6885837698805382,0.6793343605191073,9.475866864099858,80.55065119170303,0.49290324678039804,0.10380908685834067,0.08498393930197133,Nature,21
jena_weather/H/short,morai_large,1232.187969924812,1128.8992272347537,8.904014593776107,0.5924553334203084,1.4945925211009028,0.6277147706325787,6.592295118667641,35.10253509256578,0.21517629754605547,0.054581040615227686,0.044913790230466315,Nature,21
jena_weather/H/medium,morai_large,1959.5789682539682,1477.5021825396825,11.365669952876985,0.9352120614712714,2.5571930847370647,0.6988261733749791,10.968967594821066,44.26713191809436,0.2708784105646807,0.06954854490086425,0.056808903723763536,Nature,21
jena_weather/H/long,morai_large,3638.190476190476,1569.8318783068783,13.371045180224868,1.0555148440809852,2.5958595638597903,0.6760376022723029,14.228179649858546,60.317414369238975,0.3631776978709262,0.08050851412421842,0.06620202883420243,Nature,21
bizitobs_l2c/H/short,morai_large,295.5334201388889,347.14133804563494,12.163018120659721,1.1403303968020642,0.7152434058612485,1.241131928463959,12.78027016349918,17.191085484601864,0.9266436315322207,0.6556178952059557,0.5542048325505156,Web/CloudOps,7
bizitobs_l2c/H/medium,morai_large,304.0810267857143,370.12105654761905,12.919945126488095,1.248384699594367,1.1192110445843266,1.3736648279800903,9.93266485639735,17.43791922179118,1.0558924955577462,0.7823223016785701,0.6391216872314985,Web/CloudOps,7
bizitobs_l2c/H/long,morai_large,281.9984375,337.1381944444444,13.05562220982143,1.28240255641377,1.3233000804407176,1.1986886274146993,9.988461632707782,16.79280910092174,1.025753246916019,0.797475085422019,0.6260884885621019,Web/CloudOps,7
solar/D/short,morai_large,135687.50559610705,153237.53576642336,263.53412408759124,1.0291812340809714,1.1734927434990876,0.43293527003780996,8.328383414786,368.3578499178578,0.5321516288358569,0.38071704843080023,0.30567913034704547,Energy,1
bitbrains_rnd/H/short,morai_large,2086645.8411832403,1944177.3728315076,148.48864605089298,5.971556506660444,1.4822580569170605,0.5493559833286038,379.91799585613006,1444.5227035887115,6.321938386727931,0.6498589943448037,0.5842145105358122,Web/CloudOps,2
jena_weather/D/short,morai_large,600.3009920634921,495.06468253968256,11.005555555555556,1.2958840827094318,0.9500944134345918,0.49365005376642723,10.834153931828656,24.501040632256665,0.1475363097002734,0.06627143219093778,0.054389053957531824,Nature,21
bitbrains_rnd/5T/short,morai_large,144972477.29162222,1978775.855231982,131.4207951441332,1.7612071748490332,1.3549976866186288,0.6695555309494159,430787.4681050478,12040.451706295002,49.26605230099267,0.537735952516122,0.44394927103640175,Web/CloudOps,2
bitbrains_rnd/5T/medium,morai_large,35828877.540922515,2503560.642099262,164.39070171109617,4.495999012586409,1.1581493399547222,0.7221304927291811,422790.64915908,5985.722808560593,25.184987463846134,0.6916754908606315,0.61229392691244,Web/CloudOps,2
bitbrains_rnd/5T/long,morai_large,17137816.55520922,3699391.933989412,228.37138933368283,3.44033484329639,3.446308130567854,0.7039188034095316,95223.2030298372,4139.784602513664,15.858582130740762,0.874839341124302,0.7018522476945959,Web/CloudOps,2
bizitobs_l2c/5T/short,morai_large,22.748260788690477,22.309877232142856,2.825249953497024,0.2910938356651397,0.17093497169752012,0.21295504660447592,4.0849923029941575,4.769513684715715,0.16380440546758826,0.0970305191518694,0.08188135456772064,Web/CloudOps,7
bizitobs_l2c/5T/medium,morai_large,207.71685799319727,230.662393707483,9.930731823979592,0.9915867883117737,0.7246178594700261,0.8851475328108036,9.588514414821852,14.412385576066068,0.7583034246095922,0.5225025316772489,0.42338887327135294,Web/CloudOps,7
bizitobs_l2c/5T/long,morai_large,295.04529761904763,321.46424603174603,12.303118799603174,1.1888606731137425,0.9723111877610325,1.055584177598034,13.25862194789855,17.17688265137326,0.9644562813889148,0.6908017274020719,0.5743209798201926,Web/CloudOps,7
bizitobs_service/10S/short,morai_large,88624.40973544974,42770.509206349205,60.136785714285715,2.484262864142031,0.14903870597718255,0.10158320518003695,507.8124786319485,297.6985215540207,0.22054458194973459,0.044551253381858745,0.03786845769566227,Web/CloudOps,2
bizitobs_service/10S/medium,morai_large,12726469.648253968,232904.28952380954,190.94900793650794,5.943940494416572,0.294276123046875,0.20253782582204613,6442.052856593267,3567.4177843720477,2.6849223703582354,0.14371270593883836,0.11079363647105295,Web/CloudOps,2
bizitobs_service/10S/long,morai_large,418007.93396825396,315679.34306878306,201.86343915343915,5.524369172482261,0.2642160373263889,0.2001669719486232,957.3022537489379,646.5353307965884,0.47897404226910956,0.14954688913680847,0.1278459217429415,Web/CloudOps,2
bitbrains_fast_storage/5T/short,morai_large,3126000542.438471,2363915.8636461007,177.81820734120845,0.7743306111884628,2.29317493062785,0.7488293193933934,83486.33964718899,55910.647844918334,175.54560514814753,0.5583051890340119,0.4338184270121004,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,morai_large,1084808403.921525,4564621.949208009,323.5184966516566,1.069631581566486,6.045053143834501,0.817766902960033,161724.3077952816,32936.4297385361,100.06997496106678,0.98293859159527,0.7007538681915573,Web/CloudOps,2
bitbrains_fast_storage/5T/long,morai_large,2798458948.373842,6479910.339069187,420.1898270770281,0.9823226985757167,5.791629191691011,0.8314238662717104,106548.74307507872,52900.46264801322,139.8001119711349,1.1104361272860535,0.7800123556951298,Web/CloudOps,2
bitbrains_fast_storage/H/short,morai_large,3786608.4404801684,4457878.014960286,348.0380519068795,1.129828914439018,4.3944466928169685,0.583883502042608,277.57597007396396,1945.9209748805752,5.546507141957817,0.9920215494326868,0.6850183619527547,Web/CloudOps,2
solar/H/short,morai_large,659.3027606367652,706.9643620341914,11.304472169156782,0.8741199209675605,3.239308196634054,1.4229083954107582,7.050896967051304,25.676891568816604,0.9464587630545727,0.4166866038877803,0.33834679580945837,Energy,1
solar/H/medium,morai_large,746.8001216545013,805.3569343065693,12.084040450121654,0.9243491739296102,3.3472604780584856,1.4320979281211785,7.137554702081604,27.327643909684223,0.9844055166598622,0.4352953413018231,0.34993138662805007,Energy,1
solar/H/long,morai_large,839.8535279805353,889.3901865369019,13.777839872262774,1.0507326183799282,3.208708911422717,1.4595151611415373,7.109371464196959,28.980226499814236,1.0047972677105388,0.4777028177709962,0.37311904164367565,Energy,1
solar/10T/short,morai_large,34.81574831774635,33.65964943544708,2.6178662525186285,1.1443603031907459,3.0227961735951574,1.6753927491298328,13.177709846129723,5.900487125462299,1.716451065813913,0.7615370093603612,0.6206947126349602,Energy,1
solar/10T/medium,morai_large,126.5917689670427,85.61405662464057,4.818651846936518,2.1293700559596447,1.9094756825461858,1.8708057325829375,31.356784853513766,11.251300767779817,2.4967083230784692,1.0692779813260505,0.918293807671487,Energy,1
solar/10T/long,morai_large,114.1979952351987,92.67290494474858,4.77289039135366,2.088997696917444,1.4091524291536934,1.9327475561615026,32.09898503808649,10.686346206033132,2.309682774603646,1.031583902434035,0.9135362006696826,Energy,1
bizitobs_application/10S/short,morai_large,7817523.2,7502351.928888889,1101.9498611111112,4.035420607702875,0.05489423116048177,0.05663397467411287,48.218261916699525,2795.9834048148427,0.10782990405864151,0.04249780152357994,0.03640670915688668,Web/CloudOps,2
bizitobs_application/10S/medium,morai_large,62096151.89333333,53223345.49333333,4421.03,11.334244958444485,0.1557675552368164,0.16686256732694507,123.4450461647539,7880.1111599604565,0.3094287726987328,0.17360083623124212,0.13013249958036033,Web/CloudOps,2
