dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
bizitobs_l2c/5T/short,moirai_moe_small,181.54840029761905,239.6755580357143,12.794940476190476,1.2313005439469018,0.5255138665225549,0.6198730618626764,9.046545050253178,13.47398976909286,0.4627513472653294,0.4394300459629533,0.3370029021951557,Web/CloudOps,7
bizitobs_l2c/5T/medium,moirai_moe_small,355.4215986394558,347.1918792517007,14.804989105017007,1.41270049137658,1.0681717184864823,0.9204617179819513,17.671433551409045,18.85262842787328,0.9919254952135848,0.7789601437173369,0.6656978482704912,Web/CloudOps,7
bizitobs_l2c/5T/long,moirai_moe_small,482.27309523809527,430.30829365079364,17.0040625,1.6584567132209727,1.6297143108740502,1.0440538246378137,22.198121743130795,21.960717092984357,1.2330614334400405,0.9547526882558968,0.839300485232717,Web/CloudOps,7
bizitobs_l2c/H/short,moirai_moe_small,236.65780009920636,234.53035094246033,11.87835208953373,1.1440407990088082,1.528141305315123,0.8332559572544778,10.957027155006559,15.383686167469952,0.829220169333972,0.6402736654833634,0.5295991011924224,Web/CloudOps,7
bizitobs_l2c/H/medium,moirai_moe_small,310.2984375,254.7657738095238,12.428138950892857,1.2348976338909243,1.8538873162495033,0.9050775927923072,14.639365539624075,17.615289878398254,1.066632558225861,0.7525426907355951,0.6542523184318139,Web/CloudOps,7
bizitobs_l2c/H/long,moirai_moe_small,302.6199156746032,246.61468253968255,12.130453249007937,1.238916761425303,1.9639566930333463,0.8987293013214434,15.98788418293986,17.395974122612483,1.0625963072823452,0.7409630950934759,0.6405599977674723,Web/CloudOps,7
solar/10T/short,moirai_moe_small,68.3523237910584,57.792173718826035,5.6968109650623475,2.514854834343104,4.915069339967878,1.6195079074449594,24.847456107309643,8.267546419044672,2.405028357980424,1.6572016928103255,1.4506320360762386,Energy,1
solar/10T/medium,moirai_moe_small,121.69656326034064,92.56392944038929,8.073884027316966,3.5416414000958434,5.416520783671037,1.549690959937782,34.311769051178445,11.031616529790211,2.4479595182284117,1.7916269297767886,1.562021032329792,Energy,1
solar/10T/long,moirai_moe_small,136.12778094586375,103.02082319545823,8.519101974351177,3.7297703519270544,5.813210066890204,1.551469935683447,37.251356971688644,11.667381066283202,2.5217177652654725,1.841267605025019,1.6127140649800102,Energy,1
solar/H/short,moirai_moe_small,3448.9557881931105,2785.5041698681007,43.0030502415082,3.3288134217637144,12.674835130734934,1.550864635178642,30.048648329705443,58.7278110284481,2.164726646678339,1.585106734203781,1.3680175050861665,Energy,1
solar/H/medium,moirai_moe_small,4456.073479318735,3382.996107055961,49.2956926703163,3.783711356401125,15.983283437816734,1.5334071157764737,36.1019353447175,66.75382745070678,2.404628668970227,1.775745906694568,1.5418673661278552,Energy,1
solar/H/long,moirai_moe_small,5499.620437956204,4062.6702351987024,54.462535482562856,4.172108065017182,24.332607635717284,1.5243749096154267,41.89523688539508,74.15942582002779,2.571242444893381,1.8883153603308866,1.6512245211876984,Energy,1
solar/W/short,moirai_moe_small,14365485.781021899,12440701.197080292,3125.4247262773724,3.4624251220480646,0.7011744366945142,0.4976358923338562,94.92081714822942,3790.1828163060813,0.7736710720550946,0.6379773261077553,0.6289196374243679,Energy,1
bitbrains_rnd/5T/short,moirai_moe_small,2942598.8111200263,2431192.6412233915,287.46577234861,2.941353602095937,6.113579935919811,0.8265503978495432,70.02061213356687,1715.4004812637854,7.0189235328194135,1.176226949016167,1.0341135832708426,Web/CloudOps,2
bitbrains_rnd/5T/medium,moirai_moe_small,4082750.2710355916,3044751.02429229,361.49936610310823,6.140233739605487,9.059139582338869,0.8740806040657909,177.45541029306565,2020.5816665098175,8.501617192822259,1.521012130811393,1.3440014135267195,Web/CloudOps,2
bitbrains_rnd/5T/long,moirai_moe_small,4713189.640987651,3628987.518209326,391.0876589149054,5.337856223008279,9.73450097803982,0.8730590562112461,138.79445992549154,2170.98817154485,8.316566567836807,1.4981687103853818,1.329450666598215,Web/CloudOps,2
bitbrains_rnd/H/short,moirai_moe_small,3870303.084778995,2842209.529005584,364.7077490303056,8.006382546751105,9.999697699748928,0.8291995700535746,245.66987570064617,1967.308589108225,8.609905304447198,1.5961396195461246,1.4235864253648272,Web/CloudOps,2
bitbrains_fast_storage/H/short,moirai_moe_small,9353389.46117266,6803454.771645717,626.8011635777875,2.4455223581626804,9.077384982774008,0.7385685527226808,41.90211342416106,3058.3311562309045,8.717237657376028,1.786587007000647,1.6362693309967833,Web/CloudOps,2
bitbrains_fast_storage/5T/short,moirai_moe_small,4600668.745725017,3558131.715604724,377.7447112523861,1.5913807271427383,8.270204513270055,0.8511599772596814,25.87819945779847,2144.9169554379064,6.734508710742689,1.1860249609742155,1.0463173129425831,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,moirai_moe_small,7076748.443693418,5167030.431383168,477.6016486788718,1.997106666679783,10.485378900705093,0.8815921678120625,33.21315813409171,2660.2158641158085,8.082470900045205,1.4510857856806418,1.3051809689526215,Web/CloudOps,2
