dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/W/short,morai_small,2855344.817518248,3112599.3576642335,1408.0370666058395,1.5607873173282736,0.32430991291129674,0.26393228950778336,8.463975978360208,1689.776558459209,0.3449256420804608,0.2874155679582602,0.20838582071312212,Energy,1
jena_weather/10T/short,morai_small,2026.5900793650794,1747.2930555555556,9.645426432291666,0.3702891212499052,0.463704496494989,0.6411758291335857,5.22182084012318,45.01766408161445,0.2796161370854977,0.05991019157835939,0.05702432851143017,Nature,21
jena_weather/10T/medium,morai_small,4456.988167388167,2458.363059163059,12.652388843795094,0.6893274259794497,1.0391732989621918,0.7326799362885054,11.917767330453334,66.76067830233728,0.4097090960926528,0.07764748544237857,0.06975548359097467,Nature,21
jena_weather/10T/long,morai_small,3673.7613756613755,2649.886243386243,12.993650793650794,0.7067789345546207,0.8429243806300563,0.7237546126537315,10.617983048368902,60.61156140260186,0.37089253737590144,0.07951037724671886,0.07072144234723506,Nature,21
jena_weather/H/short,morai_small,1586.764411027569,1809.7144945697578,10.451593665152464,0.5880069646487666,1.3958635922002163,0.6601905194452311,5.980538401847059,39.83421156528103,0.24418117203445888,0.06406760145365135,0.05306956491107254,Nature,21
jena_weather/H/medium,morai_small,2110.8924603174605,1916.477380952381,12.453555927579366,0.9327768953788181,2.8441087155859446,0.7172507429456942,8.096711132633933,45.94444972265377,0.28114221490943825,0.07620551161486398,0.06139868655360652,Nature,21
jena_weather/H/long,morai_small,2118.0657407407407,1704.6472222222221,12.855442915013228,1.0822428550205911,2.915716282232071,0.6852959606035526,11.491523215232752,46.02244822628128,0.27710615536147376,0.07740401692958906,0.06395576320161313,Nature,21
bizitobs_l2c/H/short,morai_small,194.9766865079365,219.17678881448413,9.435867551773313,0.9132889217929908,0.732676114967401,0.9073883329182957,9.04116256339475,13.9634052618957,0.7526633831254439,0.5086174798365134,0.4194157900951619,Web/CloudOps,7
bizitobs_l2c/H/medium,morai_small,242.65814732142857,300.12265625,12.212369791666667,1.1820335433341327,1.1315104166666667,1.1050130628816486,8.367059874411536,15.577488479258413,0.9432405882653637,0.7394775404099166,0.5685498027746401,Web/CloudOps,7
bizitobs_l2c/H/long,morai_small,248.66029265873016,303.3228422619048,12.207857452876985,1.2128114970635115,1.1132165013163027,1.1180404445254009,8.3351630712795,15.768966125232502,0.9632139629681209,0.745691167268087,0.5756934554041949,Web/CloudOps,7
solar/D/short,morai_small,126405.3489051095,129695.60291970804,279.05991484184915,1.089896093518068,0.9675608985325426,0.48065030716554913,6.911558713742402,355.5352990985698,0.5136274103189004,0.40314652791843825,0.3065674986090935,Energy,1
bitbrains_rnd/H/short,morai_small,2355378.428540983,2252777.3036102466,176.78034823750053,6.219772160677379,2.3150648407116132,0.5963011981444324,1044.6184574172582,1534.7242190507657,6.71670436840748,0.7736773307648825,0.684320736939104,Web/CloudOps,2
jena_weather/D/short,morai_small,840.2488095238095,481.534623015873,11.08218781001984,1.282331488746144,0.903672065024852,0.4951093396156299,10.965177299716423,28.987045546654276,0.1745493913200052,0.06673288361242509,0.05318055848769134,Nature,21
bitbrains_rnd/5T/short,morai_small,2425982.283022608,2235691.4095624676,151.48415630014867,1.922881739412705,1.042481484544541,0.6843902172610428,2690.66078420269,1557.5565103785507,6.373071573547595,0.6198294340695744,0.5341682723747507,Web/CloudOps,2
bitbrains_rnd/5T/medium,morai_small,5008430.169612089,2320696.7753792745,156.81651875739192,4.6756550517816535,0.630453918085436,0.7064830124245925,9074.873351539212,2237.9522268386536,9.41620595878742,0.6598070417461643,0.5887876948238124,Web/CloudOps,2
bitbrains_rnd/5T/long,morai_small,3781814.040424647,3908326.4695846415,247.1188407118476,3.620625915954116,3.9434840290438116,0.7094076428092655,51183.329960311064,1944.6886744218589,7.4496641789803455,0.9466566036075168,0.7304980845059798,Web/CloudOps,2
bizitobs_l2c/5T/short,morai_small,24.52090773809524,24.04683314732143,2.9856451125372026,0.3086193699511548,0.1802251609771549,0.2223362670274307,3.6372391065652563,4.951859018398569,0.1700668823044671,0.10253913814391695,0.08461877267602788,Web/CloudOps,7
bizitobs_l2c/5T/medium,morai_small,166.08051658163265,182.94245323129252,9.327147108843537,0.906260881556366,0.6428408441189247,0.8799194301067361,8.292979335809035,12.887222997280393,0.678057444478435,0.4907450995634596,0.39226924611262165,Web/CloudOps,7
bizitobs_l2c/5T/long,morai_small,367.17071428571427,392.3615873015873,13.564068700396826,1.2706315855011758,0.9763105092336336,1.1325174351475378,11.56684629562666,19.161699149232938,1.075900760437741,0.7616021792081473,0.6187641153549336,Web/CloudOps,7
bizitobs_service/10S/short,morai_small,56611.73841269841,56427.09671957672,72.52490740740741,2.7638958688707183,0.6136333291997355,0.10677692181296689,40.78517517073972,237.93221390282235,0.17626779056089692,0.05372876997041925,0.04338142426288063,Web/CloudOps,2
bizitobs_service/10S/medium,morai_small,185486.97396825397,185110.63365079366,129.65968253968254,4.265921753807542,0.646052982390873,0.1607714992143023,78.52761695362086,430.6819870487434,0.32414137379792546,0.09758492086612149,0.08806733813882603,Web/CloudOps,2
bizitobs_service/10S/long,morai_small,232009.49502645503,214817.74052910053,137.88544973544973,4.24750665667204,0.6457820250496031,0.16891227643279183,228.19560172517882,481.67363953869744,0.3568392308894704,0.10214994925105024,0.09665280459903249,Web/CloudOps,2
bitbrains_fast_storage/5T/short,morai_small,2852665.917606904,2528428.603913915,191.71260187032004,0.85148339943169,2.1790737489759664,0.7528106055135705,795.7577358772529,1688.9836937066339,5.302991040623982,0.6019301511797813,0.4834589867592603,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,morai_small,4101942.8827304314,4146739.373519167,298.6063967711944,1.1367316322692487,4.607467697740442,0.8154416990912988,2755.447493796253,2025.3253770025278,6.153498159137882,0.907248748128458,0.6466719890070857,Web/CloudOps,2
bitbrains_fast_storage/5T/long,morai_small,5839167.177206826,5018139.69721017,355.79310621233304,1.028405709140382,4.442871035296569,0.8378760025560971,17206.35303783328,2416.4368763133098,6.38592044322069,0.9402548408319095,0.6903425650605319,Web/CloudOps,2
bitbrains_fast_storage/H/short,morai_small,180922175172.8043,3895419.9233992235,318.23557309204944,1.271066299312798,3.552610700999315,0.6010806491019192,3144.6027244497805,425349.47416542587,1212.3842266674399,0.9070747999355002,0.6503372736991155,Web/CloudOps,2
solar/H/short,morai_small,830.5637325521834,910.848084942054,13.983869117114468,1.0800683427266053,3.815116638593388,1.476771256722781,9.376132495369673,28.81950264234592,1.0622964524198373,0.5154500665249793,0.40440349845156776,Energy,1
solar/H/medium,morai_small,940.9172141119221,986.3932481751825,14.929125798357664,1.1415226084698802,4.976947567476256,1.4717971137494448,9.862761405233433,30.6743738992652,1.1049625421905929,0.5377819560069851,0.42378556466571765,Energy,1
solar/H/long,morai_small,1057.8118410381185,1113.5917274939172,16.19826388888889,1.2330238108587794,4.428588731577258,1.5004641076492606,10.850479972233215,32.52401944775766,1.1276670275948604,0.561623329524846,0.44080875250110796,Energy,1
