dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
solar/W/short,timesfm2,2096891.3284671532,2096891.3284671532,1166.0598768248176,1.2821031943796444,0.26488695353487113,0.22471564387948528,7.294462792498541,1448.0646837994334,0.29558620536729163,0.23802197379563922,0.17131841435529627,Energy,1
jena_weather/D/short,timesfm2,611.9817956349207,611.9817956349207,12.189842199900793,1.242716709292945,0.7828809605838886,0.49925255021574977,7.986525743813838,24.7382658170479,0.14896479303930293,0.07340277341666447,0.05755598311249569,Nature,21
solar/D/short,timesfm2,129054.34160583942,129054.34160583942,248.50962591240875,0.9708099685435959,1.0717349309990876,0.4227857132934641,5.367157635894963,359.2413417270337,0.5189813796226955,0.35901176597748036,0.27832423929708705,Energy,1
bitbrains_fast_storage/5T/short,timesfm2,1875794.9574381995,1875794.9574381995,182.53420069881136,0.7313112620581164,2.519704296791286,0.7652665603516019,14.845478415208365,1369.596640415783,4.30019478129415,0.573112253702986,0.44686269984907157,Web/CloudOps,2
bitbrains_fast_storage/H/short,timesfm2,2814344.54693297,2814344.54693297,319.5095836653557,1.0945356432344728,3.297534108243571,0.594425286909255,22.226729721092557,1677.6008306307463,4.781707184834564,0.9107060773579297,0.6885980783673296,Web/CloudOps,2
bitbrains_rnd/5T/short,timesfm2,1840188.9469580404,1840188.9469580404,133.04420107996648,1.769087357695446,0.9245307880251077,0.6816401076697419,55.91203276458212,1356.5356416099212,5.550552213317237,0.5443784609278862,0.462596927817591,Web/CloudOps,2
bitbrains_rnd/H/short,timesfm2,1820158.2759473168,1820158.2759473168,159.87524508759216,5.987038652491227,2.1952612512615075,0.6039518647952871,211.22483341041806,1349.1324160167958,5.904463798600161,0.6996923250121242,0.6491299753963601,Web/CloudOps,2
bizitobs_l2c/5T/short,timesfm2,24.069610305059523,24.069610305059523,2.984334891183036,0.3120665961857673,0.16652895503278783,0.22569183049763714,3.30181863628876,4.906078913456195,0.16849460819686565,0.10249413983923907,0.08389660715102074,Web/CloudOps,7
bizitobs_l2c/H/short,timesfm2,182.49937996031747,182.49937996031747,8.011452811104911,0.7824541125298182,0.5880945512144972,0.7581489886600846,5.330394598389897,13.509233137388572,0.7281822638492526,0.4318378242038057,0.34487698432048725,Web/CloudOps,7
jena_weather/10T/short,timesfm2,235.7420138888889,235.7420138888889,3.0552552238343256,0.08980353068160746,0.13293985055630864,0.4412019697944111,0.8374915912834113,15.353892467022455,0.09536691558208053,0.01897696415673956,0.015254196031936848,Nature,21
jena_weather/H/short,timesfm2,1209.9398496240601,1209.9398496240601,8.80324101268797,0.5252187766415325,2.070603581192777,0.6085839232135317,4.87348637579169,34.78418965024282,0.2132248432609358,0.05396330068323241,0.04545252032697577,Nature,21
solar/10T/short,timesfm2,44.44888610097323,44.44888610097323,3.3156100307937955,1.4774508521448844,5.894813257313924,1.6183726540388954,15.949879681848575,6.66699978258386,1.9394295147624094,0.9645105988996491,0.8039020373889028,Energy,1
solar/H/short,timesfm2,867.749023562556,867.749023562556,13.245003761685235,1.0224951363982513,4.949473513844051,1.4342694104765197,9.104292867382593,29.457580069696085,1.0858162424042848,0.4882152634777529,0.40655469939585864,Energy,1
bizitobs_application/10S/short,timesfm2,1070366.2222222222,1070366.2222222222,478.10725694444443,1.5609925639006754,0.022528510623508028,0.022773172755576724,11.055057635906726,1034.5850483272134,0.03989980995935709,0.018438685851024844,0.014469980369379552,Web/CloudOps,2
bizitobs_service/10S/short,timesfm2,5509.68380952381,5509.68380952381,25.937896825396827,1.0345768637846624,0.11807250330687831,0.06967072239670641,7.521297713984755,74.22724438859233,0.054989915628426395,0.01921562318197287,0.015068919620437639,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,timesfm2,3656576.962910724,3656576.962910724,334.8071414187721,1.0752497938664538,6.401937553812859,0.8088980104893312,31.618464478429097,1912.2178126224858,5.809846183726753,1.017236624413946,0.8862132217091677,Web/CloudOps,2
bitbrains_rnd/5T/medium,timesfm2,2454179.179388566,2454179.179388566,183.45489972516953,4.595706257446789,1.69536774075811,0.7468360877181637,170.47361820486853,1566.5820053187658,6.591408218685605,0.7718881805747376,0.7358391157846368,Web/CloudOps,2
bizitobs_l2c/5T/medium,timesfm2,223.4982993197279,223.4982993197279,10.647658907312925,1.0230321868142565,0.613080816872796,0.9409790701862781,28.57202465723824,14.94985950836087,0.7865824573447668,0.5602234391299223,0.5282120036271087,Web/CloudOps,7
bizitobs_l2c/H/medium,timesfm2,284.47131696428573,284.47131696428573,12.325013950892858,1.1844361420343539,1.3296164208382997,1.0039670168203305,17.404745427461556,16.86627750762704,1.0212787214912047,0.7462983153477151,0.640652714255893,Web/CloudOps,7
jena_weather/10T/medium,timesfm2,913.0628427128427,913.0628427128427,5.757602250180375,0.19043811285531634,0.3394176085012959,0.49391490330211835,3.5693371287587286,30.216929736702944,0.185440781225837,0.035334306581261056,0.0307859396862762,Nature,21
jena_weather/H/medium,timesfm2,1703.5861111111112,1703.5861111111112,12.295692274305555,0.863948168659507,4.27201254301757,0.6849113703706872,13.65971671842903,41.27452133109615,0.2525661161890633,0.0752395217055507,0.06604404517482755,Nature,21
solar/10T/medium,timesfm2,31.768227438619775,31.768227438619775,2.694134836042911,1.1686638323437493,3.600891244226758,1.5213719577352822,17.1872150121485,5.63633102635214,1.2507241905577071,0.5978391965107707,0.5158079503879118,Energy,1
solar/H/medium,timesfm2,731.6614355231144,731.6614355231144,12.549586564781022,0.9592580744141795,5.290485167423702,1.4162316853050023,9.128456663031036,27.049240941718022,0.9743767919580124,0.45206539894180287,0.37639747324106,Energy,1
bizitobs_application/10S/medium,timesfm2,3183324.8,3183324.8,953.8496875,3.070240763089744,0.04078792572021484,0.041821379292074135,47.504154947492836,1784.187434099904,0.07005978935972332,0.037454869880753805,0.03293225340191161,Web/CloudOps,2
bizitobs_service/10S/medium,timesfm2,77946.71238095238,77946.71238095238,56.158030753968255,1.5258586675144095,0.17358241489955356,0.10434762334215673,24.278569705073448,279.1893844345669,0.21012450985393563,0.04226585731559364,0.03816332715324882,Web/CloudOps,2
bitbrains_fast_storage/5T/long,timesfm2,3940835.4550057887,3940835.4550057887,376.16599964043564,0.9795253043186175,5.594422557590325,0.8234268598952902,29.506851066524373,1985.1537610486973,5.246168705833915,0.9940944294762744,0.9093557539166617,Web/CloudOps,2
bitbrains_rnd/5T/long,timesfm2,2489228.784172047,2489228.784172047,196.14103038971547,3.6038698991648057,2.5691940083747546,0.7295568086211247,131.09830032839184,1577.7289957949201,6.04392458898445,0.7513721302205433,0.7137353295180975,Web/CloudOps,2
bizitobs_l2c/5T/long,timesfm2,382.6845238095238,382.6845238095238,13.767312748015874,1.235924806345565,0.8708137493395561,1.1051232787949452,40.4628303572341,19.562324090187335,1.098395251936968,0.7730140286315599,0.7475717663277487,Web/CloudOps,7
bizitobs_l2c/H/long,timesfm2,352.67599206349206,352.67599206349206,13.420256696428572,1.2990507788110273,1.4642523786888975,1.0661603220406266,25.049876811625904,18.779669647347156,1.1471164235243532,0.8197480122639195,0.7283745140614762,Web/CloudOps,7
jena_weather/10T/long,timesfm2,943.5939814814815,943.5939814814815,6.432501446759259,0.23119052130066955,0.40073937526141823,0.513703617138701,4.847943350238629,30.71797489225944,0.18796855562196868,0.03936157934318262,0.03485871081803224,Nature,21
jena_weather/H/long,timesfm2,1364.8681216931218,1364.8681216931218,12.840691137566138,1.0567569563708217,4.694713184931507,0.6598753562587835,23.393004576355526,36.9441216121472,0.22244454344587397,0.0773151871795002,0.06847448328244006,Nature,21
solar/10T/long,timesfm2,29.338383737581104,29.338383737581104,2.656868489583333,1.1485639026910908,2.672009868336641,1.5307780679951746,17.633690556051988,5.416491829365305,1.1706879368241814,0.5742395610422178,0.49829818037701035,Energy,1
solar/H/long,timesfm2,1093.8715328467154,1093.8715328467154,16.69694216342255,1.2661068466627938,6.146548744661416,1.466820715728963,16.040232926816547,33.073728741203574,1.1467264506153494,0.5789134141182578,0.49345632398280664,Energy,1
bizitobs_application/10S/long,timesfm2,6603735.608888889,6603735.608888889,1581.7288888888888,4.085063473205565,0.05801406860351563,0.059197100076730604,92.40695049777621,2569.773454779407,0.09910589047278605,0.061000960893387454,0.05700828894521207,Web/CloudOps,2
bizitobs_service/10S/long,timesfm2,136490.2603174603,136490.2603174603,88.50050925925926,2.1971545600255036,0.48750232514880953,0.12749700406486372,39.88142779978569,369.4458827994437,0.27369732086582976,0.06556400654942497,0.06179002018330426,Web/CloudOps,2
