model,dataset,trial,inference_time,domain,num_variates,prediction_length,frequency
moirai_small,exchange_rate/short,0,7.62939453125e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/short,1,5.9604644775390625e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/short,2,7.3909759521484375e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/short,3,6.9141387939453125e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/short,4,6.198883056640625e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/short,5,6.4373016357421875e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/short,6,5.7220458984375e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/short,7,7.3909759521484375e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/short,8,5.245208740234375e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/short,9,5.7220458984375e-06,Econ/Fin,1,8,D
moirai_small,exchange_rate/medium,0,5.4836273193359375e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/medium,1,5.245208740234375e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/medium,2,5.4836273193359375e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/medium,3,5.245208740234375e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/medium,4,4.76837158203125e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/medium,5,5.245208740234375e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/medium,6,7.62939453125e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/medium,7,6.9141387939453125e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/medium,8,7.152557373046875e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/medium,9,7.3909759521484375e-06,Econ/Fin,1,80,D
moirai_small,exchange_rate/long,0,5.4836273193359375e-06,Econ/Fin,1,120,D
moirai_small,exchange_rate/long,1,5.7220458984375e-06,Econ/Fin,1,120,D
moirai_small,exchange_rate/long,2,5.7220458984375e-06,Econ/Fin,1,120,D
moirai_small,exchange_rate/long,3,5.4836273193359375e-06,Econ/Fin,1,120,D
moirai_small,exchange_rate/long,4,6.198883056640625e-06,Econ/Fin,1,120,D
moirai_small,exchange_rate/long,5,6.4373016357421875e-06,Econ/Fin,1,120,D
moirai_small,exchange_rate/long,6,1.0251998901367188e-05,Econ/Fin,1,120,D
moirai_small,exchange_rate/long,7,5.7220458984375e-06,Econ/Fin,1,120,D
moirai_small,exchange_rate/long,8,5.245208740234375e-06,Econ/Fin,1,120,D
moirai_small,exchange_rate/long,9,5.4836273193359375e-06,Econ/Fin,1,120,D
moirai_small,ercot/short,0,5.9604644775390625e-06,Energy,1,48,H
moirai_small,ercot/short,1,5.4836273193359375e-06,Energy,1,48,H
moirai_small,ercot/short,2,5.0067901611328125e-06,Energy,1,48,H
moirai_small,ercot/short,3,5.4836273193359375e-06,Energy,1,48,H
moirai_small,ercot/short,4,5.0067901611328125e-06,Energy,1,48,H
moirai_small,ercot/short,5,5.0067901611328125e-06,Energy,1,48,H
moirai_small,ercot/short,6,5.245208740234375e-06,Energy,1,48,H
moirai_small,ercot/short,7,5.245208740234375e-06,Energy,1,48,H
